datetime,rssi,ttl,seqNo,srcAddr,dstAddr,pdu
2022-05-07 15:22:00,-84,02,0046d2,0009,c001,4b3ff9dcda5a4fcf1371d609f16e
2022-05-07 15:22:00,-83,02,004643,000a,c001,4baf9d6f53406ecbd23ff804e76d
2022-05-07 15:22:00,-75,03,0023e0,0007,c000,4bfd0efba56bd0b4dfce41
2022-05-07 15:22:00,-82,03,0023b7,0008,c000,4b59cf954bc52d93845de6
2022-05-07 15:22:00,-76,03,004644,000a,c001,4b2d9d7619e058a490cbbe08d33a
2022-05-07 15:22:00,-77,03,0045ee,000b,c001,4b37367600fadb2ff5dddeef4048
2022-05-07 15:22:00,-75,01,0046d3,0009,c001,4be744a790511a361c9d0ec69a97
2022-05-07 15:22:00,-77,03,0045ed,000b,c001,4bdcb81efb876f71a8d99e07dc3c
2022-05-07 15:21:59,-77,03,0045eb,000b,c001,4bae2844a5e3ffed7e4ea6327e13
2022-05-07 15:21:59,-76,03,004642,000a,c001,4b0101ff7121bdc04112023fd777
2022-05-07 15:21:59,-84,03,0023b6,0008,c000,4b675a1271a2dcb7049c40
2022-05-07 15:21:59,-83,02,0046d1,0009,c001,4b6aa6f8a584953cb4068c3faffc
2022-05-07 15:21:59,-76,02,0046d0,0009,c001,4becd6d097a15482bdb8c68abfb5
2022-05-07 15:21:59,-75,03,0023df,0007,c000,4b61f548ee2e1266318497
2022-05-07 15:21:59,-79,03,004641,000a,c001,4bc15dc396da8232e6ed4896ffca
2022-05-07 15:21:59,-86,03,0045ec,000b,c001,4b4c262724cd9c09290981e74e80
2022-05-07 15:21:58,-78,03,0045ea,000b,c001,4bf551bbbde1a6cee3c08ab3f980
2022-05-07 15:21:58,-85,03,004640,000a,c001,4b25f0acfeea042c4b97b4448cf5
2022-05-07 15:21:58,-82,02,0046cf,0009,c001,4b4ef28a96f3bf3f8b430a564507
2022-05-07 15:21:58,-75,03,0023b5,0008,c000,4b51672d06d5db756a7c53
2022-05-07 15:21:58,-77,03,0023de,0007,c000,4be918384edd3b8f7c65a8
2022-05-07 15:21:58,-80,02,0046ce,0009,c001,4ba4dc78c4477c37e6ce3988d4fb
2022-05-07 15:21:58,-76,03,00463f,000a,c001,4be9ca9f13c46ae7a0481e6dc359
2022-05-07 15:21:58,-78,02,0045e9,000b,c001,4b0e32d094ed68f2e7eb3184cb1d
2022-05-07 15:21:57,-82,03,0045e7,000b,c001,4bb0f586d469476f770b7cffda07
2022-05-07 15:21:57,-77,03,00463e,000a,c001,4bae0c3f986b55220f75b65a57d0
2022-05-07 15:21:57,-74,03,0023dd,0007,c000,4ba252cbee2dfb85318c10
2022-05-07 15:21:57,-86,03,0023b4,0008,c000,4b88d6a35d479502f96dca
2022-05-07 15:21:57,-80,02,00463d,000a,c001,4b0bd50b08990264cfdd6ff828c5
2022-05-07 15:21:57,-85,02,0046cc,0009,c001,4bc0d27ad90eb5afaa9dec49e271
2022-05-07 15:21:57,-81,03,0045e8,000b,c001,4b92bd8667b23d7281262c38293c
2022-05-07 15:21:57,-84,02,0046cd,0009,c001,4b097fa5f1f613aa9ca4d4a5abaa
2022-05-07 15:21:56,-74,03,0023dc,0007,c000,4b6fe5e7f4d4e0740cf231
2022-05-07 15:21:56,-99,03,00463c,000a,c001,4b4f0dad7d6b2061990eefea488a
2022-05-07 15:21:56,-75,02,0046cb,0009,c001,4b0e82496ef7ef82f6bb4fb7a644
2022-05-07 15:21:56,-77,03,0045e5,000b,c001,4b3cc417587372ef9ccb2ccc13ee
2022-05-07 15:21:56,-75,03,0023b3,0008,c000,4b4a1f8a36c285d7690a30
2022-05-07 15:21:56,-75,02,0045e6,000b,c001,4b41e146240f997590f22e072e50
2022-05-07 15:21:56,-75,03,00463b,000a,c001,4b9616ee3732ca873a9a9f078ae7
2022-05-07 15:21:56,-75,02,0046ca,0009,c001,4bc0b05026e7cde361b2dd53449a
2022-05-07 15:21:55,-77,03,0023b2,0008,c000,4b29b4cbf1a60921e4b7f4
2022-05-07 15:21:55,-76,03,004639,000a,c001,4bd87dc6f952d73fa556f3197a9a
2022-05-07 15:21:55,-85,02,0046c9,0009,c001,4b1ae7f2f4a95c3a249a995adecd
2022-05-07 15:21:55,-81,03,00463a,000a,c001,4b3ee2d14a3a0fe45a6f44111262
2022-05-07 15:21:55,-82,02,0046c8,0009,c001,4b205f7bdf12249640f6f76da5ec
2022-05-07 15:21:55,-86,03,0045e4,000b,c001,4b9b3f492cba0699aa0f2ca3d277
2022-05-07 15:21:55,-76,03,0023db,0007,c000,4be7e978466e6d1edebdb0
2022-05-07 15:21:55,-80,03,0045e3,000b,c001,4bbc5df63879112747beef21f532
2022-05-07 15:21:54,-87,03,0045e2,000b,c001,4b64e51a14876d3624488314bab1
2022-05-07 15:21:54,-76,02,0046c6,0009,c001,4b25e8f5497d451e2c3f3233cbfe
2022-05-07 15:21:54,-86,03,0045e1,000b,c001,4ba2dad1822ea79483840830a2b0
2022-05-07 15:21:54,-75,03,004638,000a,c001,4b90fe2f9947a945edc8105d9cd1
2022-05-07 15:21:54,-74,03,0023b1,0008,c000,4ba04da1cac9f5922c8cca
2022-05-07 15:21:54,-81,02,0046c7,0009,c001,4bb7b758684f0ba56a90a29860a3
2022-05-07 15:21:54,-82,01,0046c5,0009,c001,4b24eb6395cf4a275547079a89a7
