datetime,rssi,ttl,seqNo,srcAddr,dstAddr,pdu
2022-05-07 14:06:00,-79,02,002331,0009,c001,4b5994c7e82c4bfcc779e1f56e81
2022-05-07 14:06:00,-81,02,0022a3,000a,c001,4b9c7019bc76ba732948a395ee7e
2022-05-07 14:06:00,-87,02,0022a4,000a,c001,4b33c843894e5d9811b48ea92af8
2022-05-07 14:06:00,-78,03,0022a5,000a,c001,4b87725353f1c5db3b165f3f13fe
2022-05-07 14:06:00,-91,02,00224d,000b,c001,4b413027e6e9141b6f1744a8a536
2022-05-07 14:06:00,-78,03,001210,0007,c000,4b5e7b32f535341dbc267d
2022-05-07 14:06:00,-84,02,002332,0009,c001,4b9214dd5756643432074c4ef4f6
2022-05-07 14:06:00,-87,03,00224f,000b,c001,4bee6d002ad66f7ad7e7b274792d
2022-05-07 14:06:00,-96,02,0011e7,0008,c000,4b831fea5c52ac31b6287e
2022-05-07 14:05:59,-78,03,00120f,0007,c000,4b0bdda8fd25a47ae23f2e
2022-05-07 14:05:59,-85,03,0022a2,000a,c001,4b34c468eb3a165426e725edb269
2022-05-07 14:05:59,-96,02,0011e6,0008,c000,4ba6367a715d53a5b0ce9a
2022-05-07 14:05:59,-77,02,002330,0009,c001,4be5b591ab43c63f37e059e0b8e9
2022-05-07 14:05:59,-86,03,00224c,000b,c001,4bc1fa1e630516eab4b9d52221e6
2022-05-07 14:05:58,-78,02,00232e,0009,c001,4b9c1583cc36a7935d83c4076b49
2022-05-07 14:05:58,-78,02,00232d,0009,c001,4b8ed88c67a23e77b7599d0cb8a5
2022-05-07 14:05:58,-85,02,00232f,0009,c001,4b9ab750dfe7a9affcd4bcc59e3f
2022-05-07 14:05:58,-88,03,00224b,000b,c001,4be2945df6993ee23169216144a4
2022-05-07 14:05:58,-97,02,00229f,000a,c001,4b4419133085a092ed659b5a7a37
2022-05-07 14:05:58,-92,02,0011e5,0008,c000,4b8ad42124f11b60840f19
2022-05-07 14:05:58,-85,03,00120e,0007,c000,4b5f23671099b0413191df
2022-05-07 14:05:58,-79,02,00224a,000b,c001,4b9295ae7e7c9e1cd71727a590de
2022-05-07 14:05:57,-85,01,00232b,0009,c001,4be9593ab5f31446165e31f9a2a9
2022-05-07 14:05:57,-77,02,00229d,000a,c001,4b3828d21d18de7c9c74a9ce1c6f
2022-05-07 14:05:57,-80,03,00120d,0007,c000,4bb28d38a48894b97584f9
2022-05-07 14:05:57,-96,03,002248,000b,c001,4b589104b16cef3afbae1ac1e6f4
2022-05-07 14:05:57,-77,02,0011e4,0008,c000,4b9d3e8dab6027d9e0d690
2022-05-07 14:05:57,-79,02,00229e,000a,c001,4b36a1edc5b16737578e1ea4336f
2022-05-07 14:05:57,-82,02,00232c,0009,c001,4b2ea9757fd1a344c1a5fcd00146
2022-05-07 14:05:57,-94,03,002249,000b,c001,4b219d08a19bfb51e6bb9fe732dd
2022-05-07 14:05:56,-78,03,00229c,000a,c001,4bfbfd7e9fb1944dfa90f5d4c13c
2022-05-07 14:05:56,-93,03,002246,000b,c001,4b95d200c45ef82841f8e2321a7c
2022-05-07 14:05:56,-77,02,0011e3,0008,c000,4ba8b379516165ecab389d
2022-05-07 14:05:56,-81,03,00229b,000a,c001,4b801c79487e24925d431b8898a0
2022-05-07 14:05:56,-84,03,002247,000b,c001,4bd4c7bb7fa6d3dc59ad3f160321
2022-05-07 14:05:56,-78,02,002329,0009,c001,4bfc3d9e390a31bec0a664138552
2022-05-07 14:05:56,-77,02,00232a,0009,c001,4baad8035882d60bf0949f8dc8dd
2022-05-07 14:05:56,-81,03,00120c,0007,c000,4b183bb58517e533406c82
2022-05-07 14:05:55,-96,02,002299,000a,c001,4b729ad82f2842b8a817b7849d4d
2022-05-07 14:05:55,-83,02,00229a,000a,c001,4b684d188b31907381db58623566
2022-05-07 14:05:55,-78,03,002245,000b,c001,4bae89ea5dec2648211096e35be4
2022-05-07 14:05:55,-93,02,0011e2,0008,c000,4b50624c5c21ae7aadb3ef
2022-05-07 14:05:55,-81,02,002327,0009,c001,4b502883db4f23f9d05dab9df3ae
2022-05-07 14:05:55,-84,02,002328,0009,c001,4bc11b3a988b9d4c2e3d6fb72df7
2022-05-07 14:05:55,-78,03,002244,000b,c001,4b1fb3ef0f4eb8c39d65ac8ca979
2022-05-07 14:05:55,-95,03,00120b,0007,c000,4b7e3a0f248c04f0ab9ba5
2022-05-07 14:05:55,-92,02,002326,0009,c001,4b77185eb0971d9458f9aade90a8
2022-05-07 14:05:54,-78,02,00120a,0007,c000,4b8bc2df24a72063d8d42f
2022-05-07 14:05:54,-95,02,002325,0009,c001,4b07892d7e92aebb9c72073d5170
2022-05-07 14:05:54,-76,03,002298,000a,c001,4b9dcea3efd29cc0a46792034114
2022-05-07 14:05:54,-77,03,002243,000b,c001,4b83870a76d3f12a46aa31e3ae1f
2022-05-07 14:05:54,-92,02,0011e1,0008,c000,4b8146759ce6e836d6f0f9
2022-05-07 14:05:54,-85,03,002242,000b,c001,4b1a11bb3f42dec39a5a778dc95a
2022-05-07 14:05:53,-97,02,002296,000a,c001,4b46e28d2573abb578fdddc735ee
2022-05-07 14:05:53,-84,02,002323,0009,c001,4bc21bf11e988dc0d736706b6364
2022-05-07 14:05:53,-78,02,002322,0009,c001,4b43c8c53248f0b94b8ee563fda9
2022-05-07 14:05:53,-80,03,002240,000b,c001,4b7be85ce92bbcca13ca819c6bdf
2022-05-07 14:05:53,-92,03,002297,000a,c001,4be5677fd80de8838e52fc7cebce
2022-05-07 14:05:53,-92,02,0011e0,0008,c000,4b381e6dd685a6208a5ceb
2022-05-07 14:05:53,-85,02,002324,0009,c001,4b224408073e12f2640cf28d321b
2022-05-07 14:05:53,-90,03,001209,0007,c000,4b52763d836477971d77f8
2022-05-07 14:05:53,-86,03,002241,000b,c001,4bee87eace6964c24b9a130d7fd8
2022-05-07 14:05:52,-77,03,002295,000a,c001,4b93f301aa29a67c8ee5ccbb4402
2022-05-07 14:05:52,-78,02,002321,0009,c001,4b98a4f12b1ac742838a7cd4dd4d
2022-05-07 14:05:52,-96,03,00223e,000b,c001,4bd5a34f71a488794aff0c676c74
2022-05-07 14:05:52,-78,03,001208,0007,c000,4b5da27cc8b2d7768ad18e
2022-05-07 14:05:52,-81,02,002294,000a,c001,4ba7a1482ca9fe9dc96246f16157
2022-05-07 14:05:52,-78,02,0011df,0008,c000,4ba0a231a83f2575422e83
2022-05-07 14:05:52,-86,03,00223f,000b,c001,4b4d41e3c89a4e0c4779d7f9c077
2022-05-07 14:05:51,-91,03,00223c,000b,c001,4b7226376dfeb1b39a15e8927291
2022-05-07 14:05:51,-77,03,001207,0007,c000,4bcd085b55b35c9728deed
2022-05-07 14:05:51,-85,03,00223d,000b,c001,4b8791fc62fd6ea3f2ea8852f306
2022-05-07 14:05:51,-78,03,002293,000a,c001,4b7dea5b9ac4080c9f099a55f13c
2022-05-07 14:05:51,-77,02,00231f,0009,c001,4bf42bfca7a24c6dd473259893de
2022-05-07 14:05:51,-85,02,002320,0009,c001,4b9428e1ad3e783ef47ff38bbc6f
2022-05-07 14:05:51,-91,03,00223b,000b,c001,4b1b3b8d0973704a5ab79b262396
2022-05-07 14:05:51,-79,02,0011de,0008,c000,4b1d1d7de5bf9e2162106a
2022-05-07 14:05:51,-95,02,002292,000a,c001,4b454d1c4e5674bbcbdc8354460c
2022-05-07 14:05:50,-76,03,002291,000a,c001,4b1433882e5ebda55b43e17570bd
2022-05-07 14:05:50,-77,03,0011dd,0008,c000,4b405d49597c088b080a0f
2022-05-07 14:05:50,-91,02,002290,000a,c001,4b688743bc61524ed0e5faf55126
2022-05-07 14:05:50,-77,02,00231d,0009,c001,4b9f850be97afb17328266d647db
2022-05-07 14:05:50,-84,03,001206,0007,c000,4b86ec3f52e1d1aeb4ec84
2022-05-07 14:05:50,-79,03,00223a,000b,c001,4bddfb34841422bbbd8a3057f9ca
2022-05-07 14:05:50,-77,02,00231e,0009,c001,4beb73a1a6eb7d48ccae079a66ee
2022-05-07 14:05:49,-84,02,00231b,0009,c001,4bb2dc8fd3454f02270a4d235e07
2022-05-07 14:05:49,-79,03,00228d,000a,c001,4b58e4d78d60d070b7a2e8eef9cc
2022-05-07 14:05:49,-85,03,002239,000b,c001,4b52ba588a0ea0e538874158f972
2022-05-07 14:05:49,-77,02,00228e,000a,c001,4b9861e6a98111a72781d1e55bd3
2022-05-07 14:05:49,-89,03,002238,000b,c001,4b6b3461647338311b88fd04f7ce
2022-05-07 14:05:49,-86,03,00228f,000a,c001,4b55f75333c32b2d6be0da598363
2022-05-07 14:05:49,-78,02,0011dc,0008,c000,4bfdd29e10281d2b9e4ca3
2022-05-07 14:05:49,-90,03,001205,0007,c000,4b91c81567a8edc42a79e3
2022-05-07 14:05:49,-77,02,00231c,0009,c001,4beb93b1ff05e861cd927cdae038
2022-05-07 14:05:48,-84,03,002236,000b,c001,4bf1041a91eda247334412b30504
2022-05-07 14:05:48,-80,02,00231a,0009,c001,4b8c2f77d1fb071d40036bd49d80
2022-05-07 14:05:48,-89,03,00228c,000a,c001,4bddca479933175a8c373cda1ba0
2022-05-07 14:05:48,-80,02,00228b,000a,c001,4b82590404141e87960702227095
2022-05-07 14:05:48,-78,03,001204,0007,c000,4bda1c1fbf60e416525e6c
2022-05-07 14:05:48,-82,03,002237,000b,c001,4b416cf37202e6b54ff07362da82
2022-05-07 14:05:48,-96,02,002319,0009,c001,4ba76a1ed6acd463ff94e3e8e8b9
2022-05-07 14:05:48,-92,02,0011db,0008,c000,4ba96697dbe862582dc227
2022-05-07 14:05:47,-85,03,00228a,000a,c001,4bfb999e7ad38c31f7860d1335bf
2022-05-07 14:05:47,-80,03,001203,0007,c000,4b274f3c16b9f33e8e875a
2022-05-07 14:05:47,-79,03,002289,000a,c001,4b6555535fb4bd1a8960e9be8ede
2022-05-07 14:05:47,-77,02,0011da,0008,c000,4b65ab8b4f01c3d090ec94
2022-05-07 14:05:47,-85,02,002317,0009,c001,4bf580f672acb0b1fafc3cecfa44
2022-05-07 14:05:47,-93,02,002234,000b,c001,4b5081ed7c507b6bad040c995518
2022-05-07 14:05:47,-83,02,002318,0009,c001,4b4039c7a8e93949e016119d6f07
2022-05-07 14:05:46,-84,03,001202,0007,c000,4b27a3e601cd881bb24572
2022-05-07 14:05:46,-79,02,002315,0009,c001,4bc25632972b5a39766d0c5cd8cf
2022-05-07 14:05:46,-77,02,002316,0009,c001,4bfca19e1bc6cb48811a4e47664b
2022-05-07 14:05:46,-77,02,0011d9,0008,c000,4b6e687a0edeae9e50c5a5
2022-05-07 14:05:46,-80,03,002287,000a,c001,4bbac606d726b7a435cca6fcbb4a
2022-05-07 14:05:46,-91,03,002288,000a,c001,4bef0b8941e9d30e2395dc09cac9
2022-05-07 14:05:46,-77,03,002232,000b,c001,4b4c1d5d92d3d11fcc9634cd17c9
2022-05-07 14:05:46,-85,03,002233,000b,c001,4b20c803470376638d3f7e3b6ad1
2022-05-07 14:05:45,-77,02,002285,000a,c001,4b5b303c6b3186e072d7a36756ee
2022-05-07 14:05:45,-90,03,002231,000b,c001,4bc6e3ebc661609539844dcff6c2
2022-05-07 14:05:45,-84,03,002286,000a,c001,4b67a70fa699802870bba1eaa8d2
2022-05-07 14:05:45,-77,02,0011d8,0008,c000,4b9fa79e949687e91e1c8b
2022-05-07 14:05:45,-79,02,002314,0009,c001,4bdbef441432f7b8d297e5d7ff96
2022-05-07 14:05:45,-91,02,002230,000b,c001,4b8cd78d956af82f1d89304455fd
2022-05-07 14:05:45,-84,02,002313,0009,c001,4b7ed19682aeb1d6d13bbb459ed0
2022-05-07 14:05:45,-79,03,001201,0007,c000,4ba5b6438695c4b1af1da0
2022-05-07 14:05:44,-81,02,002283,000a,c001,4b353df9e30d4965415ce4260d31
2022-05-07 14:05:44,-93,02,0011d7,0008,c000,4b550cd3f5f88c5a01f44b
2022-05-07 14:05:44,-79,03,00222f,000b,c001,4b7d8e535ec13f9fa409e23eb055
2022-05-07 14:05:44,-94,03,001200,0007,c000,4bd20d3e5be54c6945a870
2022-05-07 14:05:44,-93,02,002311,0009,c001,4b098aa7fee16d8ebcb576923649
2022-05-07 14:05:44,-76,03,002284,000a,c001,4bf736670a340317f826940fc920
2022-05-07 14:05:44,-85,02,002312,0009,c001,4b69c7a1f927b2af4967bc42bce7
2022-05-07 14:05:44,-79,02,00222e,000b,c001,4b27480bf03d11547adfd7c467ff
2022-05-07 14:05:43,-87,03,00222c,000b,c001,4be0195879da940725857c202a95
2022-05-07 14:05:43,-101,03,00222b,000b,c001,4ba27b7dea2c56db86d38fe965e6
2022-05-07 14:05:43,-78,03,0011ff,0007,c000,4b57e43a3440a57913ac7b
2022-05-07 14:05:43,-95,03,00222d,000b,c001,4ba6f767918208a8f9487a94cde4
2022-05-07 14:05:43,-81,02,00230f,0009,c001,4b961979d50e3926636531b8d833
2022-05-07 14:05:43,-86,02,002310,0009,c001,4bdfa7a3273b577e8bd1616413c3
2022-05-07 14:05:43,-91,02,0011d6,0008,c000,4bb75b1d6f47a5bd5c6761
2022-05-07 14:05:43,-79,03,002282,000a,c001,4b21c2c459a90458d1d6bef25618
2022-05-07 14:05:42,-84,03,002229,000b,c001,4b36d7fbf5ab852928d7bb5bc3d6
2022-05-07 14:05:42,-85,03,002280,000a,c001,4b612d276e1d8ecce3dfcd55f741
2022-05-07 14:05:42,-79,02,00230d,0009,c001,4ba1e20955bad586de6b8a9b0d47
2022-05-07 14:05:42,-85,03,00222a,000b,c001,4bb246896d8dd2df1ba0ceb70f56
2022-05-07 14:05:42,-97,02,0011d5,0008,c000,4b5711b9ceac21bc3ba4c7
2022-05-07 14:05:42,-93,02,002281,000a,c001,4b3fcc6caa62987cdf5ddde6675f
2022-05-07 14:05:42,-96,03,0011fe,0007,c000,4b171fdf0e3bc8d43fab87
2022-05-07 14:05:42,-86,02,00230e,0009,c001,4ba7bb5acd3376714566fae07e90
2022-05-07 14:05:41,-95,02,0011d4,0008,c000,4bee7572b742f4719f0321
2022-05-07 14:05:41,-78,03,00227f,000a,c001,4b4a363bc9027ae3cdb58f613ebe
2022-05-07 14:05:41,-85,02,00230b,0009,c001,4bd96a2ebaba7c110c5dda037bf8
2022-05-07 14:05:41,-100,03,00227d,000a,c001,4b25f7f11e6bad044a655eb65d38
2022-05-07 14:05:41,-81,03,002228,000b,c001,4b8b789ce1e54969b4442f551269
2022-05-07 14:05:41,-77,02,0011fd,0007,c000,4b84a77c50168282ce4fe6
2022-05-07 14:05:41,-85,02,00227e,000a,c001,4b27a7e2cb0f5bb5851a43807d99
2022-05-07 14:05:41,-85,02,00230c,0009,c001,4ba44578c5f50dbd6cfe1ea3f164
2022-05-07 14:05:40,-84,03,002227,000b,c001,4bbdc1a0d0495f5e4970b00336db
2022-05-07 14:05:40,-82,02,002308,0009,c001,4bb61b468a0b44fda8ccbbe0eae2
2022-05-07 14:05:40,-85,03,002226,000b,c001,4b89588ef76948f21002faecf324
2022-05-07 14:05:40,-77,02,0011d3,0008,c000,4b4b37e15ed1d30fed4e1b
2022-05-07 14:05:40,-95,03,00227c,000a,c001,4b3f619d84e608b09af8359d874a
2022-05-07 14:05:40,-77,02,002309,0009,c001,4b1e37a958b9713aded3456a9eef
2022-05-07 14:05:40,-81,03,0011fc,0007,c000,4bf00c9efb171d6f7b3a22
2022-05-07 14:05:40,-91,02,00230a,0009,c001,4be6adbcb6a1d09a2c0843a1dfb9
2022-05-07 14:05:39,-79,03,002223,000b,c001,4b1a3f7cb4ef70bc63a65bfa2f06
2022-05-07 14:05:39,-78,03,00227b,000a,c001,4b21c6901fb18481ab6147a5998f
2022-05-07 14:05:39,-79,03,0011fb,0007,c000,4b972e840599d80f277eef
2022-05-07 14:05:39,-97,03,0011d2,0008,c000,4bae296a29fb20c7682f20
2022-05-07 14:05:39,-80,03,002224,000b,c001,4bcf188d1ee7ae6e0d7829c66ffe
2022-05-07 14:05:39,-83,03,002225,000b,c001,4b9925c1a4efecad662835f07769
2022-05-07 14:05:39,-84,02,00227a,000a,c001,4bee5504ad80ab517c1ab8e5abf3
2022-05-07 14:05:39,-96,02,002307,0009,c001,4b955ff615b41c2d47cff85db358
2022-05-07 14:05:38,-84,02,0011d1,0008,c000,4b484e40643cdf4afcf873
2022-05-07 14:05:38,-85,03,0011fa,0007,c000,4b258b2738b4ecb247acaa
2022-05-07 14:05:38,-78,02,002305,0009,c001,4be7c01a4fa0c21ab77c65c7b380
2022-05-07 14:05:38,-92,02,002304,0009,c001,4b9e59adeb0e86c04505fe6ee3b4
2022-05-07 14:05:38,-78,02,002306,0009,c001,4b4867802848b974b8b7bf788e40
2022-05-07 14:05:38,-78,02,002278,000a,c001,4b232edb0e40b1e3e453e14742dc
2022-05-07 14:05:38,-95,03,002222,000b,c001,4bb130466b81c9969c58b3e0f331
2022-05-07 14:05:38,-92,03,002279,000a,c001,4bdb7b4cdad9f28a015c1f07c8d7
2022-05-07 14:05:37,-79,02,002303,0009,c001,4bf31886d29212a4a43c32a2b471
2022-05-07 14:05:37,-87,03,002221,000b,c001,4b3ff3b49d6f6d6e679ea0cfe19f
2022-05-07 14:05:37,-78,03,002276,000a,c001,4b06f3b45351145b9a7d17a0f8a1
2022-05-07 14:05:37,-85,03,002220,000b,c001,4b76398ede1499fb256e61746e53
2022-05-07 14:05:37,-77,03,002277,000a,c001,4b43ef9aa37efa82be3b70bcc8be
2022-05-07 14:05:37,-78,03,0011f9,0007,c000,4b72db492ff66b3cedc520
2022-05-07 14:05:37,-84,03,002275,000a,c001,4b2c4153027046a5b7240acd8e66
2022-05-07 14:05:37,-80,02,0011d0,0008,c000,4b4d977bb82e0c0342f834
2022-05-07 14:05:36,-80,03,00221d,000b,c001,4b6940728779c5ada168bf59a0b9
2022-05-07 14:05:36,-85,02,0011cf,0008,c000,4b7e93ba338f88f29dee89
2022-05-07 14:05:36,-90,03,00221f,000b,c001,4b40986a7de3542af571beacc747
2022-05-07 14:05:36,-78,02,002302,0009,c001,4b8a5c8e95f43fa5512ed5af3f7a
2022-05-07 14:05:36,-79,03,00221e,000b,c001,4b07fd1021d9364f6178399d3bb1
2022-05-07 14:05:36,-96,02,002301,0009,c001,4b756c7b0a8af04e82035acc2e20
2022-05-07 14:05:36,-81,03,0011f8,0007,c000,4b2d3b68ce2bb76fe4c371
2022-05-07 14:05:36,-93,03,002274,000a,c001,4bb0f2b28053cee6897a4c22971f
2022-05-07 14:05:35,-78,02,0011f7,0007,c000,4b543728d04a4c7dff25fd
2022-05-07 14:05:35,-91,02,002300,0009,c001,4b94dc542210eb34beca760a4d91
2022-05-07 14:05:35,-78,03,00221c,000b,c001,4b63c08577957d9b14d11ecc40f2
2022-05-07 14:05:35,-93,02,002272,000a,c001,4bad9c27a18f73d06a170770986c
2022-05-07 14:05:35,-84,02,00221b,000b,c001,4b6e55e5b8a3f4c68bb7884d2f87
2022-05-07 14:05:35,-79,03,002273,000a,c001,4b5748a355782925ec590f7d8458
2022-05-07 14:05:35,-79,02,0011ce,0008,c000,4b444095b22cf847ace7d7
2022-05-07 14:05:34,-77,03,002270,000a,c001,4b3482efa035347a6f1d025d40f2
2022-05-07 14:05:34,-97,02,0022ff,0009,c001,4b53159f9c2d74e37a14e837a92b
2022-05-07 14:05:34,-84,02,0011cd,0008,c000,4b1a589d58deef83f75d60
2022-05-07 14:05:34,-80,03,0011f6,0007,c000,4b8ef78667a2980cbe23d4
2022-05-07 14:05:34,-85,03,00221a,000b,c001,4b9691830469a2d7d8a545e8f756
2022-05-07 14:05:34,-84,03,002271,000a,c001,4b2760373ca4492c6cb5a7a71c46
2022-05-07 14:05:34,-80,02,0022fc,0009,c001,4bf4ba0d086602e9b043418d2087
2022-05-07 14:05:34,-78,02,0022fd,0009,c001,4ba4e551fa4f5daee9da68102a22
2022-05-07 14:05:34,-93,02,0022fe,0009,c001,4b1df755352874ba8573746b4bb9
2022-05-07 14:05:33,-78,02,0022fb,0009,c001,4be9386b8d87f6c26733ab640c8d
2022-05-07 14:05:33,-85,03,002218,000b,c001,4bedaf4880b3d9f2aedf1112f4d2
2022-05-07 14:05:33,-79,03,00226e,000a,c001,4ba887d6aa414e9fb1592c664dbd
2022-05-07 14:05:33,-77,02,002219,000b,c001,4b35081d5e8ec5c9d018f6aa66c4
2022-05-07 14:05:33,-92,03,0011f5,0007,c000,4b30122009fa6efe236e07
2022-05-07 14:05:33,-85,03,00226f,000a,c001,4bf23fecd17e0b112be0b8f55ad5
2022-05-07 14:05:33,-95,02,0011cc,0008,c000,4b0b84bac57ff449c64374
2022-05-07 14:05:33,-92,03,00226d,000a,c001,4b9dbd9bec5bc1fa3c76b7f068eb
2022-05-07 14:05:32,-77,02,0022f9,0009,c001,4b8df9368e8a4dde9f2524d222f5
2022-05-07 14:05:32,-84,02,0022f8,0009,c001,4b2beabb0e919bfe6a8d37be1515
