datetime,rssi,ttl,seqNo,srcAddr,dstAddr,pdu
2022-05-07 14:38:00,-79,02,00314d,000b,c001,4bb448f2db7fba368211e96e9950
2022-05-07 14:38:00,-99,03,001967,0008,c000,4b51df3c3f951c615c0b6c
2022-05-07 14:38:00,-78,02,0031a3,000a,c001,4bf07905c24cadf1d3b130b0e2a7
2022-05-07 14:38:00,-80,03,00314e,000b,c001,4baeda52d2705dd6ace4f6b511f9
2022-05-07 14:38:00,-86,02,003232,0009,c001,4b8234110cef19771c70b323386d
2022-05-07 14:38:00,-84,03,0031a4,000a,c001,4b3a2f61119e38212a58bd894372
2022-05-07 14:38:00,-84,03,001990,0007,c000,4ba4bc6305fed9e957371e
2022-05-07 14:37:59,-86,02,003231,0009,c001,4b2b86b0f0fc41b0a1591ba7bca3
2022-05-07 14:37:59,-80,03,001966,0008,c000,4bcc2748fae0a140b8e965
2022-05-07 14:37:59,-81,03,0031a2,000a,c001,4bd2b9ac3341f4008e74676c93a9
2022-05-07 14:37:59,-90,02,00322f,0009,c001,4b0e4c94d323d541999393fe19b0
2022-05-07 14:37:59,-79,03,00314c,000b,c001,4b6a46c33252f3f5774f92d19a52
2022-05-07 14:37:59,-85,03,0031a1,000a,c001,4b726ba84dcc2a17693f5ac407b4
2022-05-07 14:37:59,-81,02,00314b,000b,c001,4be517175a9ad4d91c3f751a5f55
2022-05-07 14:37:59,-82,03,00198f,0007,c000,4b3592d18d246314567220
2022-05-07 14:37:59,-78,02,003230,0009,c001,4b6948048b83ea2d201df370dd4a
2022-05-07 14:37:58,-94,03,003149,000b,c001,4ba3924ce1a98e4e1cbd4a2354b7
2022-05-07 14:37:58,-83,03,0031a0,000a,c001,4b7d618d0e270ea4c241fe744aa0
2022-05-07 14:37:58,-85,03,00314a,000b,c001,4b605052736fb1892c534860cec5
2022-05-07 14:37:58,-80,02,00319f,000a,c001,4bfe2819d57facab90564ef964f6
2022-05-07 14:37:58,-78,03,00198e,0007,c000,4b150141bc79a101ddcaad
2022-05-07 14:37:58,-80,02,00322d,0009,c001,4b934e8aa95b68e60beba886bcaf
2022-05-07 14:37:58,-80,02,00322e,0009,c001,4be0a729a674203c5994667ae9fe
2022-05-07 14:37:58,-78,03,001965,0008,c000,4bc9e8c1373b9b607b3042
2022-05-07 14:37:57,-81,03,00198d,0007,c000,4bc8a68b5a74ed4bfa1737
2022-05-07 14:37:57,-94,03,003147,000b,c001,4b9ec865e4d23c9fc0aec61222b8
2022-05-07 14:37:57,-78,03,001964,0008,c000,4bd02dd2a0619ecb429e6c
2022-05-07 14:37:57,-96,02,00322c,0009,c001,4bce280e00ab5838476a2cbcd71a
2022-05-07 14:37:57,-80,03,00319d,000a,c001,4b8dcac5bad5086097f8eeba59a1
2022-05-07 14:37:57,-97,03,00319e,000a,c001,4b44498657cd4e0087df31b3baee
2022-05-07 14:37:57,-84,02,003148,000b,c001,4b4d0726404f03136b991261ba0e
2022-05-07 14:37:57,-79,02,00322b,0009,c001,4b6ac6ee2d10cd9206ea3b1b75c3
2022-05-07 14:37:56,-96,02,00322a,0009,c001,4bb993de8012ee44d94a076aef22
2022-05-07 14:37:56,-78,03,00319b,000a,c001,4bde8f126091e518d43562d9e7d1
2022-05-07 14:37:56,-79,03,003144,000b,c001,4b95cf460c40fe8c4cad3e315a4c
2022-05-07 14:37:56,-77,03,001963,0008,c000,4bddfe40bb3b2f5fb96e2b
2022-05-07 14:37:56,-92,03,00319c,000a,c001,4bd8ea4859ecba4553aeebabfca9
2022-05-07 14:37:56,-82,03,003145,000b,c001,4b5d1b1c1d7d6018964427292baa
2022-05-07 14:37:56,-79,03,00198c,0007,c000,4bd6fe7ea660f1f0bcce7e
2022-05-07 14:37:56,-82,02,003146,000b,c001,4bbab756974c00d25119787f5383
2022-05-07 14:37:56,-81,02,003229,0009,c001,4b4e1fd2c7b99af6ebcbaea428d3
